user_id,item_id,mapped_model,usage_fit_city,usage_fit_daily,usage_fit_delivery,usage_fit_family,usage_fit_long_distance,usage_fit_rough_road,usage_fit_shopping,usage_fit_storage_heavy,usage_fit_trip,usage_fit_work,style_adventure,style_beauty,style_classic,style_compact,style_cute,style_modern,style_premium,style_sporty,budget_level_score,performance_score,comfort_score,safety_level_score,technology_level_score,easy_to_ride_flag,fuel_saving_flag,storage_need_flag,maintenance_easy_flag
UID1,I002,ADV 160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.66,0,0,0,0
UID2,I002,ADV 160,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.33,1,1,1,0,1,0,1,0
UID3,I002,ADV 160,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0.66,0,0,0,1
UID4,I006,N-MAX,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,1,0,0,0,1,0,0,0
UID5,I003,Forza 350,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66,0,0,0,0
UID6,I003,Forza 350,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0
UID7,I001,Click 160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66,0,0,1,0,0,0
UID8,I001,Click 160,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0.66,0,0.66,1,0,0,1
UID9,I001,Click 160,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0.33,0,0.66,0,0,1,0,0,0
UID10,I001,Click 160,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
UID11,I003,Forza 350,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
UID12,I009,Wave 125i,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0.66,0,0.66,1,0,0,1
UID13,I005,Grand Filano Hybrid,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0
UID14,I005,Grand Filano Hybrid,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0.33,0.66,0,0,0,1,0,1,0
UID15,I009,Wave 125i,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.66,1,0,0,1
UID16,I009,Wave 125i,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0.66,0,0,1,0,1,0
UID17,I003,Forza 350,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UID18,I003,Forza 350,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.66,0,0,0,0
UID19,I003,Forza 350,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.33,0,0,0,0,0,0,0,0
UID20,I003,Forza 350,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0
UID21,I003,Forza 350,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0
UID22,I003,Forza 350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,1,0
UID23,I003,Forza 350,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0
UID24,I004,Giorno+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.33,0,0,1,0,0,0,0,0
UID25,I004,Giorno+,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.33,1,0.66,0,0,1,0,0,0
UID26,I004,Giorno+,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
UID27,I004,Giorno+,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0.33,0,0,0,0,0,0,0,0
UID28,I004,Giorno+,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.66,0,0,0,0
UID29,I004,Giorno+,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0
UID30,I004,Giorno+,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0.66,0,0,0,0
UID31,I004,Giorno+,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0.66,0,0.66,0,0,0,0
UID32,I005,Grand Filano Hybrid,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.33,0,1,0,0,0,1,1,0
UID33,I005,Grand Filano Hybrid,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0.33,1,0,1,1,1,1,1,1
UID34,I005,Grand Filano Hybrid,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.33,0,0,0,0.66,0,0,0,1
UID35,I005,Grand Filano Hybrid,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.33,0,0.66,0,0,1,1,0,0
UID36,I005,Grand Filano Hybrid,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0.66,0,0,0,0
UID37,I005,Grand Filano Hybrid,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0.66,0,1,0,0
