method,user_id,true_item_id,rank
Popularity Baseline,UID1,I002,9
Popularity Baseline,UID2,I002,9
Popularity Baseline,UID3,I002,9
Popularity Baseline,UID4,I006,1
Popularity Baseline,UID5,I003,2
Popularity Baseline,UID6,I003,2
Popularity Baseline,UID7,I001,8
Popularity Baseline,UID8,I001,8
Popularity Baseline,UID9,I001,8
Popularity Baseline,UID10,I001,8
Popularity Baseline,UID11,I003,2
Popularity Baseline,UID12,I009,4
Popularity Baseline,UID13,I005,3
Popularity Baseline,UID14,I005,3
Popularity Baseline,UID15,I009,4
Popularity Baseline,UID16,I009,4
Popularity Baseline,UID17,I003,2
Popularity Baseline,UID18,I003,2
Popularity Baseline,UID19,I003,2
Popularity Baseline,UID20,I003,2
Popularity Baseline,UID21,I003,2
Popularity Baseline,UID22,I003,2
Popularity Baseline,UID23,I003,2
Popularity Baseline,UID24,I004,6
Popularity Baseline,UID25,I004,6
Popularity Baseline,UID26,I004,6
Popularity Baseline,UID27,I004,6
Popularity Baseline,UID28,I004,6
Popularity Baseline,UID29,I004,6
Popularity Baseline,UID30,I004,6
Popularity Baseline,UID31,I004,6
Popularity Baseline,UID32,I005,3
Popularity Baseline,UID33,I005,3
Popularity Baseline,UID34,I005,3
Popularity Baseline,UID35,I005,3
Popularity Baseline,UID36,I005,3
Popularity Baseline,UID37,I005,3
Popularity Baseline,UID38,I005,3
Popularity Baseline,UID39,I005,3
Popularity Baseline,UID40,I005,3
Popularity Baseline,UID41,I005,3
Popularity Baseline,UID42,I003,2
Popularity Baseline,UID43,I006,1
Popularity Baseline,UID44,I003,2
Popularity Baseline,UID45,I003,2
Popularity Baseline,UID46,I007,5
Popularity Baseline,UID47,I003,2
Popularity Baseline,UID48,I006,1
Popularity Baseline,UID49,I006,1
Popularity Baseline,UID50,I006,1
Popularity Baseline,UID51,I006,1
Popularity Baseline,UID52,I007,5
Popularity Baseline,UID53,I007,5
Popularity Baseline,UID54,I007,5
Popularity Baseline,UID55,I007,5
Popularity Baseline,UID56,I007,5
Popularity Baseline,UID57,I007,5
Popularity Baseline,UID58,I007,5
Popularity Baseline,UID59,I007,5
Popularity Baseline,UID60,I007,5
Popularity Baseline,UID61,I006,1
Popularity Baseline,UID62,I006,1
Popularity Baseline,UID63,I006,1
Popularity Baseline,UID64,I006,1
Popularity Baseline,UID65,I006,1
Popularity Baseline,UID66,I006,1
Popularity Baseline,UID67,I003,2
Popularity Baseline,UID68,I006,1
Popularity Baseline,UID69,I008,7
Popularity Baseline,UID70,I008,7
Popularity Baseline,UID71,I008,7
Popularity Baseline,UID72,I008,7
Popularity Baseline,UID73,I008,7
Popularity Baseline,UID74,I008,7
Popularity Baseline,UID75,I003,2
Popularity Baseline,UID76,I004,6
Popularity Baseline,UID77,I009,4
Popularity Baseline,UID78,I009,4
Popularity Baseline,UID79,I009,4
Popularity Baseline,UID80,I009,4
Popularity Baseline,UID81,I009,4
Popularity Baseline,UID82,I009,4
Popularity Baseline,UID83,I009,4
Popularity Baseline,UID84,I009,4
Popularity Baseline,UID85,I009,4
Popularity Baseline,UID86,I006,1
Popularity Baseline,UID87,I006,1
Popularity Baseline,UID88,I006,1
Popularity Baseline,UID89,I006,1
Popularity Baseline,UID90,I008,7
Popularity Baseline,UID91,I008,7
User-Based Proxy Similarity,UID1,I002,9
User-Based Proxy Similarity,UID2,I002,9
User-Based Proxy Similarity,UID3,I002,9
User-Based Proxy Similarity,UID4,I006,2
User-Based Proxy Similarity,UID5,I003,2
User-Based Proxy Similarity,UID6,I003,2
User-Based Proxy Similarity,UID7,I001,9
User-Based Proxy Similarity,UID8,I001,9
User-Based Proxy Similarity,UID9,I001,9
User-Based Proxy Similarity,UID10,I001,8
User-Based Proxy Similarity,UID11,I003,2
User-Based Proxy Similarity,UID12,I009,6
User-Based Proxy Similarity,UID13,I005,6
User-Based Proxy Similarity,UID14,I005,4
User-Based Proxy Similarity,UID15,I009,4
User-Based Proxy Similarity,UID16,I009,6
User-Based Proxy Similarity,UID17,I003,2
User-Based Proxy Similarity,UID18,I003,2
User-Based Proxy Similarity,UID19,I003,2
User-Based Proxy Similarity,UID20,I003,2
User-Based Proxy Similarity,UID21,I003,2
User-Based Proxy Similarity,UID22,I003,2
User-Based Proxy Similarity,UID23,I003,2
User-Based Proxy Similarity,UID24,I004,7
User-Based Proxy Similarity,UID25,I004,6
User-Based Proxy Similarity,UID26,I004,7
User-Based Proxy Similarity,UID27,I004,7
User-Based Proxy Similarity,UID28,I004,6
User-Based Proxy Similarity,UID29,I004,7
User-Based Proxy Similarity,UID30,I004,6
User-Based Proxy Similarity,UID31,I004,6
User-Based Proxy Similarity,UID32,I005,3
User-Based Proxy Similarity,UID33,I005,2
User-Based Proxy Similarity,UID34,I005,3
User-Based Proxy Similarity,UID35,I005,3
User-Based Proxy Similarity,UID36,I005,4
User-Based Proxy Similarity,UID37,I005,3
User-Based Proxy Similarity,UID38,I005,3
User-Based Proxy Similarity,UID39,I005,4
User-Based Proxy Similarity,UID40,I005,3
User-Based Proxy Similarity,UID41,I005,6
User-Based Proxy Similarity,UID42,I003,2
User-Based Proxy Similarity,UID43,I006,2
User-Based Proxy Similarity,UID44,I003,2
User-Based Proxy Similarity,UID45,I003,2
User-Based Proxy Similarity,UID46,I007,6
User-Based Proxy Similarity,UID47,I003,2
User-Based Proxy Similarity,UID48,I006,2
User-Based Proxy Similarity,UID49,I006,2
User-Based Proxy Similarity,UID50,I006,1
User-Based Proxy Similarity,UID51,I006,2
User-Based Proxy Similarity,UID52,I007,7
User-Based Proxy Similarity,UID53,I007,7
User-Based Proxy Similarity,UID54,I007,7
User-Based Proxy Similarity,UID55,I007,6
User-Based Proxy Similarity,UID56,I007,6
User-Based Proxy Similarity,UID57,I007,6
User-Based Proxy Similarity,UID58,I007,6
User-Based Proxy Similarity,UID59,I007,5
User-Based Proxy Similarity,UID60,I007,6
User-Based Proxy Similarity,UID61,I006,2
User-Based Proxy Similarity,UID62,I006,2
User-Based Proxy Similarity,UID63,I006,2
User-Based Proxy Similarity,UID64,I006,2
User-Based Proxy Similarity,UID65,I006,2
User-Based Proxy Similarity,UID66,I006,2
User-Based Proxy Similarity,UID67,I003,2
User-Based Proxy Similarity,UID68,I006,2
