user_id,source_chosen_item,neighbor_user_id,recommended_item_id,recommended_model,user_similarity
UID1,I002,UID5,I003,Forza 350,0.9
UID1,I002,UID43,I006,N-MAX,0.9
UID1,I002,UID28,I004,Giorno+,0.8
UID2,I002,UID56,I007,PCX 160,0.8
UID2,I002,UID76,I004,Giorno+,0.8
UID2,I002,UID13,I005,Grand Filano Hybrid,0.6
UID3,I002,UID57,I007,PCX 160,0.9
UID3,I002,UID82,I009,Wave 125i,0.8
UID3,I002,UID49,I006,N-MAX,0.7
UID4,I006,UID82,I009,Wave 125i,0.9
UID4,I006,UID8,I001,Click 160,0.7
UID4,I006,UID3,I002,ADV 160,0.7
UID5,I003,UID61,I006,N-MAX,1.0
UID5,I003,UID1,I002,ADV 160,0.9
UID5,I003,UID90,I008,Scoopy i,0.9
UID6,I003,UID12,I009,Wave 125i,0.9
UID6,I003,UID20,I003,Forza 350,0.8
UID6,I003,UID51,I006,N-MAX,0.8
UID7,I001,UID42,I003,Forza 350,0.9
UID7,I001,UID90,I008,Scoopy i,0.9
UID7,I001,UID52,I007,PCX 160,0.8
UID8,I001,UID73,I008,Scoopy i,0.8
UID8,I001,UID82,I009,Wave 125i,0.8
UID8,I001,UID4,I006,N-MAX,0.7
UID9,I001,UID28,I004,Giorno+,0.8
UID9,I001,UID41,I005,Grand Filano Hybrid,0.8
UID9,I001,UID4,I006,N-MAX,0.7
UID10,I001,UID39,I005,Grand Filano Hybrid,0.8
UID10,I001,UID78,I009,Wave 125i,0.7
UID10,I001,UID19,I003,Forza 350,0.6
UID11,I003,UID47,I003,Forza 350,1.0
UID11,I003,UID64,I006,N-MAX,1.0
UID11,I003,UID1,I002,ADV 160,0.8
UID12,I009,UID6,I003,Forza 350,0.9
UID12,I009,UID51,I006,N-MAX,0.9
UID12,I009,UID60,I007,PCX 160,0.8
UID13,I005,UID74,I008,Scoopy i,0.9
UID13,I005,UID56,I007,PCX 160,0.8
UID13,I005,UID5,I003,Forza 350,0.8
UID14,I005,UID33,I005,Grand Filano Hybrid,0.8
UID14,I005,UID15,I009,Wave 125i,0.7
UID14,I005,UID72,I008,Scoopy i,0.7
UID15,I009,UID27,I004,Giorno+,0.9
UID15,I009,UID70,I008,Scoopy i,0.9
UID15,I009,UID42,I003,Forza 350,0.8
UID16,I009,UID58,I007,PCX 160,0.8
UID16,I009,UID29,I004,Giorno+,0.7
UID16,I009,UID74,I008,Scoopy i,0.7
UID17,I003,UID63,I006,N-MAX,1.0
UID17,I003,UID11,I003,Forza 350,0.9
UID17,I003,UID1,I002,ADV 160,0.9
UID18,I003,UID5,I003,Forza 350,0.8
UID18,I003,UID54,I007,PCX 160,0.8
UID18,I003,UID43,I006,N-MAX,0.8
UID19,I003,UID24,I004,Giorno+,0.9
UID19,I003,UID62,I006,N-MAX,0.9
UID19,I003,UID69,I008,Scoopy i,0.9
UID20,I003,UID51,I006,N-MAX,1.0
UID20,I003,UID60,I007,PCX 160,0.9
UID20,I003,UID12,I009,Wave 125i,0.9
UID21,I003,UID22,I003,Forza 350,0.9
UID21,I003,UID12,I009,Wave 125i,0.8
UID21,I003,UID60,I007,PCX 160,0.7
UID22,I003,UID21,I003,Forza 350,0.9
UID22,I003,UID12,I009,Wave 125i,0.8
UID22,I003,UID36,I005,Grand Filano Hybrid,0.8
UID23,I003,UID17,I003,Forza 350,0.8
UID23,I003,UID63,I006,N-MAX,0.8
UID23,I003,UID59,I007,PCX 160,0.8
UID24,I004,UID19,I003,Forza 350,0.9
UID24,I004,UID27,I004,Giorno+,0.9
UID24,I004,UID52,I007,PCX 160,0.9
UID25,I004,UID20,I003,Forza 350,0.8
UID25,I004,UID51,I006,N-MAX,0.8
UID25,I004,UID60,I007,PCX 160,0.8
UID26,I004,UID36,I005,Grand Filano Hybrid,0.8
UID26,I004,UID55,I007,PCX 160,0.8
UID26,I004,UID6,I003,Forza 350,0.7
UID27,I004,UID70,I008,Scoopy i,1.0
UID27,I004,UID24,I004,Giorno+,0.9
UID27,I004,UID15,I009,Wave 125i,0.9
UID28,I004,UID1,I002,ADV 160,0.8
UID28,I004,UID31,I004,Giorno+,0.8
UID28,I004,UID9,I001,Click 160,0.8
UID29,I004,UID41,I005,Grand Filano Hybrid,0.9
UID29,I004,UID24,I004,Giorno+,0.8
UID29,I004,UID15,I009,Wave 125i,0.8
UID30,I004,UID31,I004,Giorno+,0.9
UID30,I004,UID54,I007,PCX 160,0.8
UID30,I004,UID41,I005,Grand Filano Hybrid,0.7
UID31,I004,UID30,I004,Giorno+,0.9
UID31,I004,UID41,I005,Grand Filano Hybrid,0.8
UID31,I004,UID54,I007,PCX 160,0.7
UID32,I005,UID59,I007,PCX 160,0.7
UID32,I005,UID38,I005,Grand Filano Hybrid,0.7
UID32,I005,UID88,I006,N-MAX,0.7
UID33,I005,UID14,I005,Grand Filano Hybrid,0.8
UID33,I005,UID46,I007,PCX 160,0.6
UID33,I005,UID81,I009,Wave 125i,0.6
