user_id,user_idx,item_id,item_idx,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,mapped_model,age_group,gender,usage_type,style,performance,comfort,fuel_saving
UID1,0,I002,1,2.3001728,1.2345445,1.0220197,-2.4787247,0.80529374,-1.7571601,-0.20761141,-0.79636365,ADV 160,teen,male,unknown,sporty,unknown,unknown,unknown
UID2,1,I002,1,-2.257405,1.6301178,-2.1360705,-0.17302579,-0.43490866,-0.3561702,-0.1405448,1.4227947,ADV 160,teen,male,daily,sporty,high,high,unknown
UID3,2,I002,1,2.37516,0.21108814,0.42501014,-0.36588535,-0.4065961,0.46034864,0.17424127,2.6712625,ADV 160,adult,female,unknown,sporty,high,unknown,unknown
UID4,3,I006,5,0.4233354,0.4561831,0.54553604,1.2004853,-1.0298425,0.1587676,0.13355453,0.33767495,N-MAX,adult,male,city,sporty,high,unknown,unknown
UID5,4,I003,2,-0.9969945,0.27904257,0.040950205,1.5942498,-0.3287744,0.01841944,-0.9314539,-1.2574885,Forza 350,teen,male,unknown,unknown,unknown,unknown,unknown
UID6,5,I003,2,-1.6099703,1.2696519,-0.5927794,0.09973805,-1.8111323,1.8559233,-1.504789,-0.640435,Forza 350,adult,male,long_distance,premium,high,high,unknown
UID7,6,I001,0,0.23499407,0.43925676,0.8776326,-0.41498977,0.66256565,0.006676417,-1.7115332,0.27415508,Click 160,teen,female,unknown,unknown,unknown,unknown,unknown
UID8,7,I001,0,-3.2409132,0.19668838,-1.5582814,2.3295047,-0.26177654,2.1846533,-0.19596665,1.6351753,Click 160,young_adult,male,unknown,sporty,high,unknown,unknown
UID9,8,I001,0,1.4019003,0.89640355,1.8277545,0.5930543,0.60149914,0.5841863,-0.8593618,0.96128434,Click 160,adult,male,city,sporty,unknown,unknown,unknown
UID10,9,I001,0,0.42642805,0.23826075,0.18837786,-0.15309483,1.3305959,-0.601309,-2.1168573,-0.2220531,Click 160,young_adult,female,long_distance,sporty,high,unknown,true
UID11,10,I003,2,-0.4474797,1.495838,-0.8807213,0.6356005,-1.0002302,0.51125,-0.16057813,-1.4404508,Forza 350,teen,male,unknown,sporty,high,unknown,unknown
UID12,11,I009,8,-0.14303145,-0.4786838,-1.2913901,1.5782748,-2.6418557,-0.7381547,1.3085717,-0.07296754,Wave 125i,adult,male,long_distance,premium,high,high,unknown
UID13,12,I005,4,-3.4126575,0.1929539,0.18712147,0.7692045,0.8223399,1.2828083,1.9591247,-0.872877,Grand Filano Hybrid,teen,male,unknown,unknown,unknown,high,unknown
UID14,13,I005,4,0.85327905,-1.1238536,0.18188924,-0.84662294,0.6346443,1.7674395,1.1246834,-0.35626224,Grand Filano Hybrid,adult,female,city,premium,unknown,unknown,unknown
UID15,14,I009,8,-1.8604733,0.24185042,-1.4818895,0.76652235,1.3547299,1.4784173,0.58733517,0.3020141,Wave 125i,adult,female,unknown,beauty,unknown,unknown,unknown
UID16,15,I009,8,-1.4340281,0.85647774,-0.6877023,1.4240373,1.2548249,1.3091347,1.2968677,0.118891075,Wave 125i,adult,female,daily,unknown,unknown,high,unknown
UID17,16,I003,2,1.140165,1.7161648,-1.1985128,0.45573127,-1.5028847,1.7910122,-0.6075175,-0.8862145,Forza 350,teen,male,unknown,sporty,high,unknown,unknown
UID18,17,I003,2,0.32303736,0.12715323,-1.2013226,1.802206,-1.2666668,0.6657772,-1.7522568,-0.64528567,Forza 350,young_adult,male,long_distance,unknown,unknown,unknown,unknown
UID19,18,I003,2,-1.1845429,0.9760538,1.28891,1.6868323,-0.3400768,0.3864081,-0.57811445,-0.5618754,Forza 350,teen,female,unknown,sporty,unknown,unknown,unknown
UID20,19,I003,2,-0.25084627,1.1988868,-0.57050055,1.7748139,-2.1449916,0.139014,-0.91219956,-0.087642066,Forza 350,young_adult,male,long_distance,premium,high,high,unknown
UID21,20,I003,2,-1.5172949,0.83476067,0.43698925,0.6462424,-0.47036564,-0.4744566,-0.90961546,-1.3192465,Forza 350,adult,male,delivery,premium,high,high,unknown
UID22,21,I003,2,-1.1950691,2.0953536,1.6979659,0.46223465,-2.277122,1.3054054,-0.4434905,1.1195984,Forza 350,adult,male,unknown,premium,high,high,unknown
UID23,22,I003,2,-0.87903756,0.58265394,-0.803428,0.8957461,-1.2724261,-0.70032406,-1.0578119,-1.40568,Forza 350,adult,male,unknown,sporty,high,unknown,unknown
UID24,23,I004,3,-0.2846172,-1.7836967,-1.9033859,-0.67302036,1.145789,0.14470784,1.6449951,0.64478606,Giorno+,teen,female,unknown,beauty,unknown,unknown,unknown
UID25,24,I004,3,0.8843576,-1.5777684,-0.053766076,-1.2018654,-0.5149213,1.1452917,1.9839528,1.8126202,Giorno+,young_adult,female,city,premium,high,high,unknown
UID26,25,I004,3,0.61049277,1.1138076,-1.215117,-1.3187325,0.34758073,0.6827017,2.5413597,0.93412876,Giorno+,teen,male,unknown,premium,unknown,high,unknown
UID27,26,I004,3,-0.25739712,-0.6425575,-1.5475055,-1.670058,1.581467,0.32584554,1.280464,-1.2896745,Giorno+,teen,female,unknown,beauty,unknown,unknown,unknown
UID28,27,I004,3,0.15560171,-0.53446054,-1.929491,0.62248707,-0.0033140157,0.2611762,2.3086526,2.157333,Giorno+,adult,male,daily,sporty,unknown,unknown,unknown
UID29,28,I004,3,-0.75818795,-0.015497988,-1.133242,-1.3057078,-0.5563091,1.061593,2.3141177,2.4584508,Giorno+,adult,female,daily,beauty,unknown,unknown,unknown
UID30,29,I004,3,0.33258823,-1.8890885,-1.8868237,-1.7507534,0.028876526,0.33699635,0.9538977,0.2923596,Giorno+,young_adult,male,daily,beauty,unknown,high,unknown
UID31,30,I004,3,-0.9053374,-1.3702304,-2.0415194,-0.20080128,-0.29911846,1.1122156,1.7396761,2.233556,Giorno+,adult,male,daily,beauty,unknown,high,unknown
UID32,31,I005,4,1.7836031,-1.7123984,0.8846914,-0.067173675,0.103615984,0.82648,1.1978896,-0.4669665,Grand Filano Hybrid,teen,male,unknown,premium,unknown,unknown,true
UID33,32,I005,4,0.6464808,-0.67052555,-1.2512183,-2.1264925,-1.3665473,1.5404296,0.6092004,0.21187575,Grand Filano Hybrid,adult,female,city,premium,high,unknown,true
UID34,33,I005,4,-2.6544473,-0.32392132,0.12702455,1.0761368,0.48720312,1.223938,-1.2480841,-0.84433943,Grand Filano Hybrid,teen,male,unknown,beauty,unknown,unknown,true
UID35,34,I005,4,-2.630271,1.2073821,-3.7507753,1.0303742,-0.26312456,0.36290935,2.510843,0.30227888,Grand Filano Hybrid,adult,หญิง,daily,premium,unknown,unknown,true
UID36,35,I005,4,-0.43052247,3.194185,0.28844467,3.242617,-0.19845517,2.7336414,0.9753714,-1.7539215,Grand Filano Hybrid,adult,male,unknown,premium,unknown,high,unknown
UID37,36,I005,4,1.1881603,-2.1318753,-0.6821757,-0.82486933,-0.036090504,0.6665322,0.19304319,-1.0011455,Grand Filano Hybrid,adult,female,unknown,beauty,unknown,high,true
UID38,37,I005,4,1.8316034,-0.69733,1.1238354,0.21810435,0.02587788,0.5565198,1.9098516,-0.2954173,Grand Filano Hybrid,teen,female,unknown,premium,unknown,high,true
UID39,38,I005,4,0.9697247,-1.7869467,0.31410775,-1.66352,1.0731657,2.236597,-0.79863656,-1.5423242,Grand Filano Hybrid,young_adult,female,city,sporty,high,unknown,true
UID40,39,I005,4,1.2967863,-1.7339165,0.23180556,-0.80895174,-0.14004773,-0.085894875,1.0345558,-1.3785927,Grand Filano Hybrid,young_adult,female,unknown,premium,unknown,high,true
UID41,40,I005,4,0.266716,-1.4077468,0.8560699,-1.682581,0.18619017,1.3688895,0.9046903,-0.79058164,Grand Filano Hybrid,adult,male,daily,beauty,unknown,unknown,unknown
UID42,41,I003,2,-0.5444485,1.1633557,-1.7881988,0.382963,-0.7365359,1.32033,-1.1948711,-1.5231622,Forza 350,teen,female,unknown,beauty,unknown,unknown,unknown
UID43,42,I006,5,-0.09398718,-0.45213783,0.89313537,0.22346042,-0.41118672,-0.45774725,-0.41535133,-0.6390547,N-MAX,young_adult,male,unknown,sporty,unknown,unknown,unknown
UID44,43,I003,2,-0.54559183,1.6569412,-0.47902966,2.5569096,-0.22761342,-0.36455968,-0.8386891,-1.5000162,Forza 350,teen,male,unknown,beauty,unknown,unknown,unknown
UID45,44,I003,2,-1.9362952,1.1851565,0.41426197,0.45895463,-1.5040699,0.053168304,-1.6201704,0.7464811,Forza 350,teen,unknown,unknown,beauty,unknown,unknown,unknown
UID46,45,I007,6,1.8136477,1.0448687,-0.52212894,-0.42989162,-0.71439105,-0.008833133,0.4239676,1.4678556,PCX 160,adult,female,daily,sporty,high,unknown,unknown
UID47,46,I003,2,-1.0278366,0.68903726,1.4924686,2.2951543,-0.65965664,1.2495475,-0.7279744,-0.27629876,Forza 350,teen,male,unknown,sporty,high,unknown,unknown
UID48,47,I006,5,-0.39195642,-1.494317,-0.349038,0.24283724,-0.83960235,-0.23654349,-1.1448987,0.03889612,N-MAX,adult,male,unknown,unknown,unknown,high,unknown
UID49,48,I006,5,-0.28665516,-0.44684792,0.06658083,0.6077189,0.21098866,-0.32912582,-0.83919394,-0.67992747,N-MAX,teen,male,daily,sporty,high,unknown,unknown
UID50,49,I006,5,-1.1413255,-2.20715,0.20885973,0.80192447,0.37852603,-0.060060266,-1.4013559,0.5800021,N-MAX,young_adult,male,city,unknown,high,high,unknown
UID51,50,I006,5,-0.6327227,-1.7458869,-1.0734289,0.15588239,0.38061064,0.5265103,0.76658845,-0.60396796,N-MAX,young_adult,male,long_distance,premium,high,high,unknown
UID52,51,I007,6,1.8584261,-0.80804974,0.041316632,1.5852401,0.6489569,-0.19967842,0.050332375,0.76572007,PCX 160,teen,female,unknown,beauty,unknown,unknown,unknown
UID53,52,I007,6,0.89986813,-2.546345,0.07044095,1.3499306,-1.489844,-0.05470774,0.4827348,-2.9274342,PCX 160,young_adult,female,unknown,beauty,unknown,unknown,unknown
UID54,53,I007,6,-1.0919209,-1.3672384,0.34769577,0.63271147,1.398285,-1.0767388,0.12653565,1.4858117,PCX 160,young_adult,male,unknown,beauty,unknown,unknown,unknown
UID55,54,I007,6,0.54440284,-0.2561069,0.17270781,1.2363702,0.79878324,-0.4644058,0.320552,0.93188137,PCX 160,teen,female,unknown,premium,unknown,high,unknown
UID56,55,I007,6,0.8053588,-2.3805828,0.2775412,-1.3051187,-1.2436258,1.9041513,1.4258255,-1.3127608,PCX 160,teen,male,unknown,sporty,high,high,unknown
UID57,56,I007,6,-0.4387764,-0.053162646,-1.028392,-0.22964062,0.1672274,-0.89715487,-0.39714232,0.6499684,PCX 160,adult,female,daily,sporty,high,unknown,unknown
UID58,57,I007,6,2.2380593,-0.97555447,-0.8928966,0.719546,0.19022657,-0.046679012,-0.62787765,0.22312254,PCX 160,adult,female,daily,sporty,unknown,high,unknown
UID59,58,I007,6,1.7292379,-0.05879672,-0.519628,0.16302694,0.933672,0.5453543,-0.9243224,-0.7721163,PCX 160,adult,male,unknown,sporty,unknown,unknown,true
UID60,59,I007,6,-0.29675987,0.9609159,1.3994061,-1.0384526,3.2271934,0.7933669,1.0303485,-0.2662124,PCX 160,young_adult,male,unknown,premium,high,high,unknown
UID61,60,I006,5,-0.050766435,-0.5784482,-0.12581192,-0.7417013,-1.1321802,0.03137154,-1.2983968,-1.6573466,N-MAX,teen,male,unknown,unknown,unknown,unknown,unknown
UID62,61,I006,5,-0.22302838,-0.5920995,0.3542084,-0.5708161,-1.121856,-0.51911086,-0.6591758,-0.17704058,N-MAX,teen,female,unknown,sporty,unknown,unknown,unknown
UID63,62,I006,5,-0.0032793984,-0.19937311,0.21696666,1.4834945,-1.9278735,-0.38029504,-1.456289,1.6677666,N-MAX,teen,male,unknown,sporty,high,unknown,unknown
UID64,63,I006,5,-1.2178601,-2.0458322,0.8497969,0.83839095,0.053854197,-0.4123018,-1.0678233,0.8606675,N-MAX,teen,male,unknown,sporty,high,unknown,unknown
UID65,64,I006,5,-0.76566976,-1.1307813,0.30099365,-0.16055834,-0.12565483,-0.37991393,-1.4600477,-1.070145,N-MAX,teen,unknown,unknown,sporty,high,unknown,unknown
UID66,65,I006,5,-0.16468026,-0.8230023,0.18317056,-0.94691944,-1.5747702,0.2987399,-1.1656007,-0.5503001,N-MAX,teen,male,unknown,sporty,high,unknown,unknown
UID67,66,I003,2,-0.5404106,-0.25042257,-0.07968545,1.2031375,-0.6125133,-1.2289486,-1.7017275,-1.1648959,Forza 350,teen,female,unknown,unknown,unknown,unknown,unknown
UID68,67,I006,5,-0.7592186,-0.8958596,1.0151358,0.6969745,0.046675194,1.8970189,2.1827579,-1.8623888,N-MAX,teen,male,daily,unknown,unknown,unknown,unknown
UID69,68,I008,7,-0.658412,0.29008374,-0.15334949,0.07107364,0.18530783,-2.098744,-1.4493421,2.8216143,Scoopy i,teen,female,unknown,unknown,unknown,unknown,unknown
UID70,69,I008,7,2.892557,-2.592546,2.0158277,1.5692375,-2.2909417,0.22595535,-0.8065852,-1.415272,Scoopy i,teen,female,unknown,beauty,unknown,unknown,unknown
UID71,70,I008,7,1.9313926,3.429412,0.082588874,-0.053072028,0.72604567,-1.6235367,-0.614982,0.6108391,Scoopy i,teen,female,unknown,unknown,unknown,high,unknown
UID72,71,I008,7,0.097394146,2.082847,0.6516511,-0.25239843,0.923258,-2.1156378,-0.66329646,1.6471843,Scoopy i,young_adult,female,city,unknown,unknown,unknown,unknown
UID73,72,I008,7,-0.13038315,0.06550708,0.004720069,-0.26421738,-0.9570316,-1.9080133,-1.4851412,3.6061637,Scoopy i,young_adult,male,unknown,unknown,unknown,unknown,unknown
UID74,73,I008,7,-1.2571687,-1.4662758,1.0618339,1.0309275,-0.93183583,-0.6177949,-1.5967746,-1.566758,Scoopy i,teen,female,unknown,unknown,unknown,high,unknown
UID75,74,I003,2,-0.76565087,1.2851304,0.5028625,0.9257227,-1.2736108,0.25057116,-0.33898115,-1.0956547,Forza 350,teen,male,unknown,beauty,unknown,unknown,unknown
UID76,75,I004,3,-0.041320875,-1.2728422,-0.6591139,-0.19264022,0.9101782,0.4316577,2.2901778,1.0561259,Giorno+,teen,female,daily,sporty,high,high,unknown
UID77,76,I009,8,-1.858386,1.4294705,-0.9129009,0.12552512,-0.001362251,-0.63487464,2.4697683,-0.958281,Wave 125i,young_adult,female,unknown,unknown,unknown,unknown,unknown
UID78,77,I009,8,-2.1197705,1.5502446,0.5462597,0.3140357,0.6147021,1.7429866,1.6769521,0.19849454,Wave 125i,teen,female,unknown,sporty,high,unknown,unknown
UID79,78,I009,8,-1.6977928,0.93563205,-1.0940814,0.35099664,0.19801076,0.6226472,1.3118881,-0.64702296,Wave 125i,young_adult,male,city,beauty,unknown,unknown,true
UID80,79,I009,8,-1.7428935,0.73040915,-0.28151473,1.3154652,0.9597547,2.1379051,0.7819878,0.72838634,Wave 125i,young_adult,male,daily,unknown,unknown,unknown,true
UID81,80,I009,8,-2.0400674,-0.6970907,1.4754928,1.1477941,-0.69644225,-0.022504598,-0.5739215,0.015390931,Wave 125i,adult,female,unknown,sporty,unknown,unknown,true
UID82,81,I009,8,-0.9328511,0.71935827,-2.287409,1.4212263,1.1540526,1.03722,0.6455233,0.06531133,Wave 125i,adult,male,unknown,sporty,high,unknown,unknown
UID83,82,I009,8,-1.8931037,0.1565089,-1.5063337,-0.75351244,0.31485587,2.020506,0.0056491373,-0.6175665,Wave 125i,adult,male,daily,sporty,high,unknown,true
UID84,83,I009,8,-1.5986506,0.65988463,-1.6676617,0.024752071,0.18990836,0.5866035,1.0067612,-1.0128776,Wave 125i,adult,female,daily,unknown,unknown,unknown,true
UID85,84,I009,8,-0.28825337,-0.07500724,-1.3510469,0.18809691,0.30169505,2.2911794,0.34509555,-0.05032658,Wave 125i,young_adult,male,daily,premium,unknown,unknown,unknown
UID86,85,I006,5,-2.3612177,-1.4535615,1.4542456,-1.1691924,-0.04171712,-0.52072394,-0.55018896,0.15422004,N-MAX,adult,male,long_distance,premium,high,high,true
UID87,86,I006,5,0.20941208,-0.47209337,1.0216305,2.5587091,0.16771474,-0.11589562,0.46823415,1.2366828,N-MAX,young_adult,female,daily,premium,unknown,high,unknown
